pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.012442100000043865,,0.008344399997440632,0.012442100000043865,1.0062135999978636,1.0062135999978636,1.0062135999978636,1.0062135999978636,1.0232248000029358,2.0056000999975367,2.0056000999975367,3.122815000002447,x,1,1.055642599996645,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,0,1,1,1,,,,,3.1275722999998834,,3.1237230000042473,3.1275722999998834,4.13795620000019,4.13795620000019,4.13795620000019,4.13795620000019,4.13795620000019,5.136637100004009,5.136637100004009,7.303220900001179,v,1,2.1569430000017746,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,0,2,2,2,,,,,7.318344400002388,,7.303982899997209,7.318344400002388,8.318310399998154,8.318310399998154,8.318310399998154,8.318310399998154,8.318310399998154,9.317846600002667,9.317846600002667,9.801507399999537,c,1,0.4698757000005571,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,0,3,3,3,,,,,9.816796300001442,,9.80227929999819,9.816796300001442,10.817006400000537,10.817006400000537,10.817006400000537,10.817006400000537,10.817006400000537,11.81629729999986,11.81629729999986,12.449751400003152,z,1,0.6261028000008082,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,1,0,4,0,,,,,12.465227799999411,,12.450533800001722,12.465227799999411,13.448725900001591,13.448725900001591,13.448725900001591,13.448725900001591,13.46552050000173,14.463848999999755,14.463848999999755,15.215247300002375,x,1,0.7347157999975025,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,1,1,5,1,,,,,15.230960799999593,,15.216166899997916,15.230960799999593,16.229622700004256,16.229622700004256,16.229622700004256,16.229622700004256,16.229622700004256,17.228909700002987,17.228909700002987,18.246237100000144,v,1,1.001583400000527,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,1,2,6,2,,,,,18.261569599999348,,18.246950799999468,18.261569599999348,19.245004500000505,19.245004500000505,19.245004500000505,19.245004500000505,19.261613299997407,20.260016000000178,20.260016000000178,21.161402800003998,c,1,0.8950493000011193,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,1,3,7,3,,,,,21.177039300004253,,21.16300510000292,21.177039300004253,22.176125400001183,22.176125400001183,22.176125400001183,22.176125400001183,22.176125400001183,23.175208900000143,23.175208900000143,23.542558900000586,z,1,0.3555973999973503,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,2,0,8,0,,,,,23.55818829999771,,23.543334699999832,23.55818829999771,24.55801110000175,24.55801110000175,24.55801110000175,24.55801110000175,24.55801110000175,25.557252999999037,25.557252999999037,26.39117080000142,x,1,0.8327047000057064,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,2,1,9,1,,,,,26.406136999998125,,26.392004799999995,26.406136999998125,27.406390299998748,27.406390299998748,27.406390299998748,27.406390299998748,27.406390299998748,28.405668699997477,28.405668699997477,29.105736600002274,v,1,0.6977502000008826,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,2,2,10,2,,,,,29.121289200003957,,29.10647489999974,29.121289200003957,30.121122500000638,30.121122500000638,30.121122500000638,30.121122500000638,30.121122500000638,31.120072500001697,31.120072500001697,32.137269200000446,c,1,1.0133233000015025,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,2,3,11,3,,,,,32.15217870000197,,32.13794860000053,32.15217870000197,33.15291900000011,33.15291900000011,33.15291900000011,33.15291900000011,33.15291900000011,34.15148600000248,34.15148600000248,34.91969450000033,z,1,0.7616464000020642,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,3,0,12,0,,,,,34.934628599999996,,34.92060660000425,34.934628599999996,35.93419359999825,35.93419359999825,35.93419359999825,35.93419359999825,35.93419359999825,36.93351870000333,36.93351870000333,37.61740550000104,x,1,0.681616000001668,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,3,1,13,1,,,,,37.632453400001395,,37.61820090000401,37.632453400001395,38.632583099999465,38.632583099999465,38.632583099999465,38.632583099999465,38.632583099999465,39.63148280000314,39.63148280000314,40.64874679999775,v,1,1.0148845000003348,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,3,2,14,2,,,,,40.66426660000434,,40.64948269999877,40.66426660000434,41.663697100004356,41.663697100004356,41.663697100004356,41.663697100004356,41.663697100004356,42.662594599998556,42.662594599998556,43.463794100003724,c,1,0.7856042999992496,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,3,3,15,3,,,,,43.47958500000095,,43.46496209999896,43.47958500000095,44.47935349999898,44.47935349999898,44.47935349999898,44.47935349999898,44.47935349999898,45.4776966999998,45.4776966999998,46.1282943000042,z,1,0.6454816999976174,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,4,0,16,0,,,,,46.143706299997575,,46.12911870000244,46.143706299997575,47.14377940000122,47.14377940000122,47.14377940000122,47.14377940000122,47.14377940000122,48.14257910000015,48.14257910000015,48.843633199998294,x,1,0.6974722000013571,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,4,1,17,1,,,,,48.858899400001974,,48.844507200003136,48.858899400001974,49.85922690000007,49.85922690000007,49.85922690000007,49.85922690000007,49.85922690000007,50.85781000000134,50.85781000000134,51.59184220000316,v,1,0.7300562000018544,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,4,2,18,2,,,,,51.606818200001726,,51.59276790000149,51.606818200001726,52.60688169999776,52.60688169999776,52.60688169999776,52.60688169999776,52.60688169999776,53.60649079999712,53.60649079999712,54.607269899999665,c,1,0.9869276999961585,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,4,3,19,3,,,,,54.622245899998234,,54.60843269999896,54.622245899998234,55.621438000001945,55.621438000001945,55.621438000001945,55.621438000001945,55.621438000001945,56.62067779999779,56.62067779999779,57.67127210000035,z,1,1.0378528000001097,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,5,0,20,0,,,,,57.686844000003475,,57.672064300000784,57.686844000003475,58.68648850000318,58.68648850000318,58.68648850000318,58.68648850000318,58.68648850000318,59.68566119999741,59.68566119999741,60.586377899999206,x,1,0.8995629999990342,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
