free_association
What are three words that describe your ideal vacation?
What are the first three words you think of when imagining your future job?
What are the first three things that come to mind when you think of family?
"give two things when you think of a healthy lifestyle, what activities or habits come to mind?"
What three things do you associate with a relaxing evening at home?
