study_word,t_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,P_str_,pastry ,old,,,,,0,0,0,4,18.018188800000644,,,,,,,,18.00109810000049,18.018188800000644,18.018188800000644,18.018188800000644,0.014710200000081386,24.635083300000588,pastry,[-0.10462962962962963],[-0.2861111111111111],[1],[0],[0],[6.6278369999999995],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,_ou_e,mouse,old,,,,,0,1,1,3,24.649792900000648,,,,,,,,24.636257500000283,24.649792900000648,24.649792900000648,24.649792900000648,0.002705500000047323,27.316533000000163,mouse,[-0.10462962962962963],[-0.2861111111111111],[1],[0],[0],[2.677117299999736],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,_o_rd,board ,old,,,,,0,2,2,10,27.331614500000796,,,,,,,,27.317467100000613,27.331614500000796,27.331614500000796,27.331614500000796,0.00312119999944116,33.97933379999995,,[-0.10462962962962963],[-0.2861111111111111],[1],[0],[0],[6.658329599999888],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,p_nc_l,pencil ,new ,,,,,0,3,3,16,33.99389300000075,,,,,,,,33.98001540000041,33.99389300000075,33.99389300000075,33.99389300000075,0.0028751999998348765,36.943683800000144,pencil,[-0.10462962962962963],[-0.2814814814814815],[1],[0],[0],[2.9603451999992103],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,c_s_,case,old,,,,,0,4,4,5,36.958796200000506,,,,,,,,36.94459630000074,36.958796200000506,36.958796200000506,36.958796200000506,0.002994800000124087,40.208600599999954,case,[-0.10462962962962963],[-0.28425925925925927],[1],[0],[0],[3.2606141000005664],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,P_st_r,poster,old,,,,,0,5,5,9,40.2236554000001,,,,,,,,40.209494200000336,40.2236554000001,40.2236554000001,40.2236554000001,0.00352759999987029,50.217238300000645,poster,[],[],[],[],[],[],[],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,ta_l_,table,new,,,,,0,6,6,15,50.23354540000037,,,,,,,,50.21803720000025,50.23354540000037,50.23354540000037,50.23354540000037,0.011908399999811081,50.2514069000008,,[-0.09722222222222222],[-0.28888888888888886],[1],[0],[0],[0.029551200000241806],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,_ha_t,chart,old,,,,,0,7,7,1,50.26707070000066,,,,,,,,50.25226930000008,50.26707070000066,50.26707070000066,50.26707070000066,0.0031964999998308485,59.97893910000039,chart,"[0.009259259259259259, -0.058333333333333334]","[-0.26944444444444443, -0.2796296296296296]","[1, 1]","[0, 0]","[0, 0]","[8.657389899999544, 9.722994400000061]",['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,_oo_,book ,old,,,,,0,8,8,13,59.994180900000174,,,,,,,,59.97963940000045,59.994180900000174,59.994180900000174,59.994180900000174,0.0030366000000867643,63.79278620000059,book,[-0.04259259259259259],[-0.2962962962962963],[1],[0],[0],[3.8094344000001],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,K_y_,keys ,old,,,,,0,9,9,8,63.808417200000804,,,,,,,,63.79383760000019,63.808417200000804,63.808417200000804,63.808417200000804,0.004877000000305998,67.92338400000062,keys,[-0.04351851851851852],[-0.30277777777777776],[1],[0],[0],[4.12418820000039],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,T_hi_it,t-shirt ,old,,,,,0,10,10,2,67.9401028000002,,,,,,,,67.92431430000033,67.9401028000002,67.9401028000002,67.9401028000002,0.00624470000002475,71.70581530000072,tshirt,[-0.044444444444444446],[-0.30092592592592593],[1],[0],[0],[3.7744121999994604],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,_a_bl_,marble ,old,,,,,0,11,11,11,71.7203313,,,,,,,,71.70671630000015,71.7203313,71.7203313,71.7203313,0.0036562999994202983,78.3177381000005,marble,[0.03425925925925926],[-0.29444444444444445],[1],[0],[0],[6.606981899999482],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,c_s_io_,cushion ,old,,,,,0,12,12,14,78.33255970000027,,,,,,,,78.31841260000056,78.33255970000027,78.33255970000027,78.33255970000027,0.003342999999404128,83.93004410000049,cushion,[0.05185185185185185],[-0.31574074074074077],[1],[0],[0],[5.60778240000036],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,l_pt_p,laptop,old,,,,,0,13,13,0,83.94565210000019,,,,,,,,83.93100030000005,83.94565210000019,83.94565210000019,83.94565210000019,0.003202400000191119,91.82626740000069,laptop,[0.03425925925925926],[-0.30648148148148147],[1],[0],[0],[7.891627800000606],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,v_s_,vase,new ,,,,,0,14,14,17,91.8446754000006,,,,,,,,91.82810750000044,91.8446754000006,91.8446754000006,91.8446754000006,0.0055793999999878,93.52483040000061,,[0.03518518518518519],[-0.30277777777777776],[1],[0],[0],[1.6907658000000083],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,bo_t_e,bottle ,new ,,,,,0,15,15,18,93.53965360000075,,,,,,,,93.52567620000082,93.53965360000075,93.53965360000075,93.53965360000075,0.0029037000003881985,95.32302320000053,,[0.03518518518518519],[-0.30277777777777776],[1],[0],[0],[1.794059599999855],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,_ru_se,cruise ,old,,,,,0,16,16,6,95.33876450000025,,,,,,,,95.32375219999994,95.33876450000025,95.33876450000025,95.33876450000025,0.003016599999682512,104.7175444000004,cruise,[0.03796296296296296],[-0.3037037037037037],[1],[0],[0],[9.390341799999987],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,P_li_e,police,old,,,,,0,17,17,7,104.7324765000003,,,,,,,,104.71823800000038,104.7324765000003,104.7324765000003,104.7324765000003,0.0035101000003123772,108.26500850000048,police,"[0.22777777777777777, 0.044444444444444446]","[-0.1527777777777778, -0.30277777777777776]","[1, 1]","[0, 0]","[0, 0]","[2.593622299999879, 3.542318200000409]",['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,c_m_ra,camera,new ,,,,,0,18,18,19,108.28037870000026,,,,,,,,108.26573970000027,108.28037870000026,108.28037870000026,108.28037870000026,0.0026303000004190835,111.03018730000076,,[0.044444444444444446],[-0.30277777777777776],[1],[0],[0],[2.761312700000417],['text_3'],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
,_ho_e,phone ,old,,,,,0,19,19,12,111.04495820000011,,,,,,,,111.03110450000077,111.04495820000011,111.04495820000011,111.04495820000011,0.0033536999999341788,121.0387068,shoe,[],[],[],[],[],[],[],426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
