study_word,t_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
t-shirt ,,,,0,0,0,7,,,,,0.052470000000539585,,0.012425400000211084,0.052470000000539585,0.052470000000539585,3.952744100000018,1,3.909568300000501,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
cruise ,,,,0,1,1,11,,,,,3.9798006000000896,,3.953317900000002,3.9798006000000896,3.9798006000000896,4.867394000000786,1,0.8866510999996535,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
marble ,,,,0,2,2,3,,,,,4.89258719999998,,4.867785800000092,4.89258719999998,4.89258719999998,6.299388300000828,5,1.4057370000000446,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
cushion ,,,,0,3,3,1,,,,,6.322400200000629,,6.299832600000627,6.322400200000629,6.322400200000629,7.516434200000731,1,1.1892020000004777,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
laptop ,,,,0,4,4,5,,,,,7.540426400000797,,7.5168484000005265,7.540426400000797,7.540426400000797,8.348747300000468,1,0.8040197000000262,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
phone ,,,,0,5,5,2,,,,,8.37013560000014,,8.349071800000274,8.37013560000014,8.37013560000014,10.596807900000385,1.0074074074074073,2.223710100000062,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
case,,,,0,6,6,10,,,,,10.620570700000826,,10.597222900000816,10.620570700000826,10.620570700000826,12.362241300000278,1.0074074074074073,1.7396711999999752,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
mouse ,,,,0,7,7,8,,,,,12.385365600000114,,12.362601700000596,12.385365600000114,12.385365600000114,13.544611900000746,1.011111111111111,1.1569749999998749,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
book,,,,0,8,8,0,,,,,13.566567400000167,,13.545023600000604,13.566567400000167,13.566567400000167,14.894393400000808,1.011111111111111,1.3235879000003479,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
board,,,,0,9,9,4,,,,,14.920181100000264,,14.894799500000772,14.920181100000264,14.920181100000264,15.559642000000167,1.011111111111111,0.6375059000001784,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
chart ,,,,0,10,10,6,,,,,15.58257980000053,,15.560018400000445,15.58257980000053,15.58257980000053,16.10895250000067,1.011111111111111,0.5242565999997169,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
police ,,,,0,11,11,12,,,,,16.13206960000025,,16.10935470000004,16.13206960000025,16.13206960000025,16.709576500000367,1.011111111111111,0.5756971999999223,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
pastry ,,,,0,12,12,9,,,,,16.73454960000072,,16.709995300000628,16.73454960000072,16.73454960000072,17.125596800000494,1.011111111111111,0.3885663000000932,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
keys ,,,,0,13,13,13,,,,,17.147723200000655,,17.126010200000565,17.147723200000655,17.147723200000655,17.609078400000726,1.011111111111111,0.45947220000016387,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
poster ,,,,0,14,14,14,,,,,17.631962400000702,,17.609499800000776,17.631962400000702,17.631962400000702,17.99176710000029,1.011111111111111,0.3582063999992897,,,,,,,,,,,,,,,426141,001,2024-11-07_17h24.37.194,priming_exp,2024.1.5,None,2024-11-07 17h24.45.378666 +0530,
