study_word,t_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
police ,,,,0,0,0,12,,,,,0.04219500010367483,,0.01686100009828806,0.04219500010367483,0.04219500010367483,2.163613500073552,1.0888888888888888,2.1242136999499053,,,,,,,,,,,,,,,336045,001,2024-11-07_15h43.38.734,priming_exp,2024.1.5,None,2024-11-07 15h43.46.688721 +0530,
board,,,,0,1,1,4,,,,,2.1801222000503913,,2.1640415000729263,2.1801222000503913,2.1801222000503913,4.462393800029531,1,2.275507100042887,,,,,,,,,,,,,,,336045,001,2024-11-07_15h43.38.734,priming_exp,2024.1.5,None,2024-11-07 15h43.46.688721 +0530,
cruise ,,,,0,2,2,11,,,,,4.477627400076017,,4.462686800048687,4.477627400076017,4.477627400076017,5.827680500107817,1,1.341357099940069,,,,,,,,,,,,,,,336045,001,2024-11-07_15h43.38.734,priming_exp,2024.1.5,None,2024-11-07 15h43.46.688721 +0530,
poster ,,,,0,3,3,14,,,,,5.84422330011148,,5.827887000050396,5.84422330011148,5.84422330011148,7.692388500086963,4.966666666666667,1.8463922999799252,,,,,,,,,,,,,,,336045,001,2024-11-07_15h43.38.734,priming_exp,2024.1.5,None,2024-11-07 15h43.46.688721 +0530,
phone ,,,,0,4,4,2,,,,,7.709071900113486,,7.692597100045532,7.709071900113486,7.709071900113486,8.859909400111064,1,1.1442241999320686,,,,,,,,,,,,,,,336045,001,2024-11-07_15h43.38.734,priming_exp,2024.1.5,None,2024-11-07 15h43.46.688721 +0530,
laptop ,,,,0,5,5,5,,,,,8.874371000099927,,8.86018590000458,8.874371000099927,8.874371000099927,12.006675800075755,1,3.1248424999648705,,,,,,,,,,,,,,,336045,001,2024-11-07_15h43.38.734,priming_exp,2024.1.5,None,2024-11-07 15h43.46.688721 +0530,
t-shirt ,,,,0,6,6,7,,,,,12.024131300044246,,12.006887400057167,12.024131300044246,12.024131300044246,13.341835400089622,1,1.3081227999646217,,,,,,,,,,,,,,,336045,001,2024-11-07_15h43.38.734,priming_exp,2024.1.5,None,2024-11-07 15h43.46.688721 +0530,
keys ,,,,0,7,7,13,,,,,13.3596956001129,,13.342255000025034,13.3596956001129,13.3596956001129,14.438800400006585,1,1.072921899962239,,,,,,,,,,,,,,,336045,001,2024-11-07_15h43.38.734,priming_exp,2024.1.5,None,2024-11-07 15h43.46.688721 +0530,
marble ,,,,0,8,8,3,,,,,14.454867699998431,,14.439096000045538,14.454867699998431,14.454867699998431,16.986603300087154,1.114814814814815,2.524708000011742,,,,,,,,,,,,,,,336045,001,2024-11-07_15h43.38.734,priming_exp,2024.1.5,None,2024-11-07 15h43.46.688721 +0530,
pastry ,,,,0,9,9,9,,,,,17.000862500048243,,16.98682180000469,17.000862500048243,17.000862500048243,18.269198100082576,1.114814814814815,1.2618219000287354,,,,,,,,,,,,,,,336045,001,2024-11-07_15h43.38.734,priming_exp,2024.1.5,None,2024-11-07 15h43.46.688721 +0530,
