study_word,t_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
marble ,,,,0,0,0,3,,,,,0.04102599999168888,,0.01621760003035888,0.04102599999168888,0.04102599999168888,2.178799399989657,1,2.139702899963595,,,,,,,,,,,,,,,992779,001,2024-10-31_11h45.54.178,priming_exp,2024.1.5,None,2024-10-31 11h46.01.460540 +0530,
case,,,,0,1,1,10,,,,,2.194385799986776,,2.1791235000127926,2.194385799986776,2.194385799986776,3.095813099993393,1,0.8944168000016361,,,,,,,,,,,,,,,992779,001,2024-10-31_11h45.54.178,priming_exp,2024.1.5,None,2024-10-31 11h46.01.460540 +0530,
t-shirt ,,,,0,2,2,7,,,,,3.111914600012824,,3.0960823000059463,3.111914600012824,3.111914600012824,3.9773862999863923,1,0.8594497000449337,,,,,,,,,,,,,,,992779,001,2024-10-31_11h45.54.178,priming_exp,2024.1.5,None,2024-10-31 11h46.01.460540 +0530,
poster ,,,,0,3,3,14,,,,,3.9912273000227287,,3.977586099994369,3.9912273000227287,3.9912273000227287,4.711603900010232,1,0.7115753999678418,,,,,,,,,,,,,,,992779,001,2024-10-31_11h45.54.178,priming_exp,2024.1.5,None,2024-10-31 11h46.01.460540 +0530,
mouse ,,,,0,4,4,8,,,,,4.7306747999973595,,4.711880000017118,4.7306747999973595,4.7306747999973595,5.49398349999683,1,0.7589703000267036,,,,,,,,,,,,,,,992779,001,2024-10-31_11h45.54.178,priming_exp,2024.1.5,None,2024-10-31 11h46.01.460540 +0530,
pastry ,,,,0,5,5,9,,,,,5.509104400000069,,5.494336200004909,5.509104400000069,5.509104400000069,6.6435398000176065,1,1.1256547000375576,,,,,,,,,,,,,,,992779,001,2024-10-31_11h45.54.178,priming_exp,2024.1.5,None,2024-10-31 11h46.01.460540 +0530,
book,,,,0,6,6,0,,,,,6.657562499982305,,6.643805400002748,6.657562499982305,6.657562499982305,7.49192200001562,1,0.8272870000218973,,,,,,,,,,,,,,,992779,001,2024-10-31_11h45.54.178,priming_exp,2024.1.5,None,2024-10-31 11h46.01.460540 +0530,
cushion ,,,,0,7,7,1,,,,,7.50575700000627,,7.492122899973765,7.50575700000627,7.50575700000627,8.32474509999156,1,0.8101436999859288,,,,,,,,,,,,,,,992779,001,2024-10-31_11h45.54.178,priming_exp,2024.1.5,None,2024-10-31 11h46.01.460540 +0530,
cruise ,,,,0,8,8,11,,,,,8.338642599992454,,8.324994100024924,8.338642599992454,8.338642599992454,9.191799000022002,1,0.8460421999916434,,,,,,,,,,,,,,,992779,001,2024-10-31_11h45.54.178,priming_exp,2024.1.5,None,2024-10-31 11h46.01.460540 +0530,
board,,,,0,9,9,4,,,,,9.208307399996556,,9.19207390001975,9.208307399996556,9.208307399996556,9.957045699993614,1,0.7422705999924801,,,,,,,,,,,,,,,992779,001,2024-10-31_11h45.54.178,priming_exp,2024.1.5,None,2024-10-31 11h46.01.460540 +0530,
