reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,1,0.1350209999945946,,0.016277799964882433,0.1350209999945946,1.0014390999567695,1.0014390999567695,1.1348158000037074,3.0534468999831006,l,2.034022499981802,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
49,60,89,0,1,1,4,3.066565199987963,,3.0541702999616973,3.066565199987963,4.066321599995717,4.066321599995717,4.066321599995717,5.099812700005714,t,1.0267837999854237,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
67,75,119,0,2,2,5,5.115301999961957,,5.100333699956536,5.115301999961957,6.11489139997866,6.11489139997866,6.11489139997866,7.1325151000055484,t,1.006064300017897,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
27,50,21,0,3,3,2,7.147353999956977,,7.13328409998212,7.147353999956977,8.14680629997747,8.14680629997747,8.14680629997747,8.831443300005049,l,0.6707596000051126,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
40,55,62,0,4,4,3,8.84622899995884,,8.83221969997976,8.84622899995884,9.845948599977419,9.845948599977419,9.845948599977419,10.71286509995116,t,0.8549033000017516,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
11,30,7,0,5,5,0,10.72855790000176,,10.713385599956382,10.72855790000176,11.728098499996122,11.728098499996122,11.728098499996122,12.279218299954664,l,0.5442116999765858,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
78,80,162,0,6,6,6,12.294041099958122,,12.279997699952219,12.294041099958122,13.293672100000549,13.293672100000549,13.293672100000549,13.977945199992973,t,0.6710211999597959,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
67,75,119,1,0,7,5,13.992949399980716,,13.978676499973517,13.992949399980716,14.99255439999979,14.99255439999979,14.99255439999979,15.643282799981534,t,0.6401768999639899,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
27,50,21,1,1,8,2,15.658710099989548,,15.643853499961551,15.658710099989548,16.658024100004695,16.658024100004695,16.658024100004695,17.142619999998715,l,0.47788120002951473,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
78,80,162,1,2,9,6,17.157802999950945,,17.14335819997359,17.157802999950945,18.157144500000868,18.157144500000868,18.157144500000868,18.675007699988782,t,0.5132871000096202,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
40,55,62,1,3,10,3,18.690050399978645,,18.675640299974475,18.690050399978645,19.689390099956654,19.689390099956654,19.689390099956654,20.224562699964736,l,0.5322058000019751,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
11,30,7,1,4,11,0,20.23907299997518,,20.22543210000731,20.23907299997518,21.238603899953887,21.238603899953887,21.238603899953887,21.72334659995977,t,0.47698610002407804,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
49,60,89,1,5,12,4,21.73824209999293,,21.724090199975763,21.73824209999293,22.737572099955287,22.737572099955287,22.737572099955287,23.57172479998553,l,0.8194313000421971,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
15,35,13,1,6,13,1,23.587096399976872,,23.57227549998788,23.587096399976872,24.586053200007882,24.586053200007882,24.586053200007882,25.653721799957566,l,1.0619875999982469,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
15,35,13,2,0,14,1,25.6690214999835,,25.65431999997236,25.6690214999835,26.66840119997505,26.66840119997505,26.66840119997505,27.45292819995666,l,0.7807429999811575,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
78,80,162,2,1,15,6,27.467730799980927,,27.453656899975613,27.467730799980927,28.46729099994991,28.46729099994991,28.46729099994991,29.484947699995246,t,1.0016076999600045,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
27,50,21,2,2,16,2,29.499928699980956,,29.485814299958292,29.499928699980956,30.4993241999764,30.4993241999764,30.4993241999764,32.28334949997952,l,1.7700259999837726,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
67,75,119,2,3,17,5,32.29811769997468,,32.28428389999317,32.29811769997468,33.29755649995059,33.29755649995059,33.29755649995059,35.28103819995886,t,1.9746656999923289,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
11,30,7,2,4,18,0,35.29620199999772,,35.28171229996951,35.29620199999772,36.29577129997779,36.29577129997779,36.29577129997779,36.762946699978784,l,0.45423309999750927,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
40,55,62,2,5,19,3,36.77861519996077,,36.76370999997016,36.77861519996077,37.77800539997406,37.77800539997406,37.77800539997406,38.34595059999265,l,0.5513743000337854,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
49,60,89,2,6,20,4,38.36093099997379,,38.346828799985815,38.36093099997379,39.36031909997109,39.36031909997109,39.36031909997109,39.94519339996623,l,0.5829184000031091,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
15,35,13,3,0,21,1,39.959775700001046,,39.94587539997883,39.959775700001046,40.95929079997586,40.95929079997586,40.95929079997586,41.84329849999631,l,0.8684478000504896,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
49,60,89,3,1,22,4,41.85869379999349,,41.84395209996728,41.85869379999349,42.85811889998149,42.85811889998149,42.85811889998149,43.42558579996694,t,0.5509151000296697,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
67,75,119,3,2,23,5,43.4411526999902,,43.42621949996101,43.4411526999902,44.440419299993664,44.440419299993664,44.440419299993664,45.107872399967164,t,0.6609120999928564,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
78,80,162,3,3,24,6,45.12340199999744,,45.10892109997803,45.12340199999744,46.12274309998611,46.12274309998611,46.12274309998611,46.773422300000675,t,0.6334436999750324,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
40,55,62,3,4,25,3,46.78890769998543,,46.77400390000548,46.78890769998543,47.78849489998538,47.78849489998538,47.78849489998538,48.65565189998597,t,0.860544299997855,None,946873,001,2024-11-18_13h26.48.965,delay_discounting,2024.1.5,None,2024-11-18 13h26.54.820786 +0530,
