reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,5,0.11947740003233775,,0.008672800031490624,0.11947740003233775,1.0026149000041187,1.0026149000041187,1.1190663000452332,2.602187500044238,t,1.583202000008896,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
78,80,162,0,1,1,6,2.618197300005704,,2.6040893000317737,2.618197300005704,3.6175111000193283,3.6175111000193283,3.6175111000193283,4.384930800006259,t,0.7562600000528619,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
49,60,89,0,2,2,4,4.400095799996052,,4.385444600018673,4.400095799996052,5.3997103000292554,5.3997103000292554,5.3997103000292554,6.333464300027117,l,0.9253353999811225,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
27,50,21,0,3,3,2,6.349059000029229,,6.333997800014913,6.349059000029229,7.34849960001884,7.34849960001884,7.34849960001884,8.599455900024623,l,1.2442759000114165,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
15,35,13,0,4,4,1,8.614312799996696,,8.600135400018189,8.614312799996696,9.613698700035457,9.613698700035457,9.613698700035457,10.415193099994212,l,0.7882921000127681,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
40,55,62,0,5,5,3,10.429699500033166,,10.416162800043821,10.429699500033166,11.429223100014497,11.429223100014497,11.429223100014497,13.39578469999833,l,1.9545003999955952,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
11,30,7,0,6,6,0,13.411298700026236,,13.396394400042482,13.411298700026236,14.410812300047837,14.410812300047837,14.410812300047837,16.543451700010337,t,2.129804200027138,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
11,30,7,1,0,7,0,16.559195800044108,,16.54383149999194,16.559195800044108,17.558539000048768,17.558539000048768,17.558539000048768,18.825407600030303,l,1.2539790000300854,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
67,75,119,1,1,8,5,18.840883400000166,,18.82580750004854,18.840883400000166,19.840396400017198,19.840396400017198,19.840396400017198,21.658276700007264,t,1.815580399997998,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
40,55,62,1,2,9,3,21.672661999997217,,21.659048300003633,21.672661999997217,22.672036900010426,22.672036900010426,22.672036900010426,27.703166000021156,l,5.014872399973683,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
78,80,162,1,3,10,6,27.718795399996452,,27.703721199999563,27.718795399996452,28.717830100038555,28.717830100038555,28.717830100038555,30.668957800022326,t,1.9421943000052124,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
27,50,21,1,4,11,2,30.683492100040894,,30.66976469999645,30.683492100040894,31.682950300048105,31.682950300048105,31.682950300048105,32.916879900032654,l,1.2321904000127688,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
15,35,13,1,5,12,1,32.93207070004428,,32.91744290001225,32.93207070004428,33.931715600017924,33.931715600017924,33.931715600017924,34.666245400032494,l,0.731206500029657,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
49,60,89,1,6,13,4,34.6810378000373,,34.66706120001618,34.6810378000373,35.6804192000418,35.6804192000418,35.6804192000418,38.96290650003357,l,3.2682787000085227,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
67,75,119,2,0,14,5,38.97837740002433,,38.96348120004404,38.97837740002433,39.977694000001065,39.977694000001065,39.977694000001065,41.261401500029024,t,1.273719999997411,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
49,60,89,2,1,15,4,41.27684930001851,,41.261935300019104,41.27684930001851,42.27622070000507,42.27622070000507,42.27622070000507,43.144932300026994,t,0.866821399948094,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
40,55,62,2,2,16,3,43.158982900029514,,43.14565840002615,43.158982900029514,44.15843140002107,44.15843140002107,44.15843140002107,45.208829700015485,t,1.0344874000293203,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
78,80,162,2,3,17,6,45.22434960003011,,45.20942990004551,45.22434960003011,46.22384650004096,46.22384650004096,46.22384650004096,47.2580658000079,l,1.0225976000074297,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
27,50,21,2,4,18,2,47.27288810000755,,47.25870790000772,47.27288810000755,48.27245250000851,48.27245250000851,48.27245250000851,49.77275659999577,l,1.4911662000231445,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
11,30,7,2,5,19,0,49.78807250002865,,49.77342949999729,49.78807250002865,50.78731330001028,50.78731330001028,50.78731330001028,51.2881637000246,l,0.486298399977386,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
15,35,13,2,6,20,1,51.30371569999261,,51.28859280003235,51.30371569999261,52.303187300043646,52.303187300043646,52.303187300043646,53.220406000036746,l,0.9093043999746442,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
27,50,21,3,0,21,2,53.23606180003844,,53.220774799992796,53.23606180003844,54.235316600010265,54.235316600010265,54.235316600010265,54.81970600003842,l,0.5824187999824062,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
15,35,13,3,1,22,1,54.83483490004437,,54.82033420004882,54.83483490004437,55.83434900001157,55.83434900001157,55.83434900001157,56.48509020003257,l,0.6376018999726512,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
78,80,162,3,2,23,6,56.500363900035154,,56.48589320003521,56.500363900035154,57.49983159999829,57.49983159999829,57.49983159999829,58.41774170001736,t,0.9003415000042878,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
49,60,89,3,3,24,4,58.432454099995084,,58.41867770004319,58.432454099995084,59.43181490001734,59.43181490001734,59.43181490001734,60.266357200045604,l,0.8208483999478631,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
67,75,119,3,4,25,5,60.281238900031894,,60.26709660002962,60.281238900031894,61.28104080003686,61.28104080003686,61.28104080003686,62.34931120002875,t,1.066272999974899,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
11,30,7,3,5,26,0,62.36328960000537,,62.35014019999653,62.36328960000537,63.36299420002615,63.36299420002615,63.36299420002615,64.14709670003504,l,0.775843600044027,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
40,55,62,3,6,27,3,64.1622434000019,,64.14816070004599,64.1622434000019,65.16166959999828,65.16166959999828,65.16166959999828,65.6293148000259,l,0.46033180004451424,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
11,30,7,4,0,28,0,65.64453119999962,,65.63037200004328,65.64453119999962,66.6439415999921,66.6439415999921,66.6439415999921,67.34468710003421,t,0.6905258999904618,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
67,75,119,4,1,29,5,67.36004280002089,,67.3451994000352,67.36004280002089,68.35964139999123,68.35964139999123,68.35964139999123,69.87779130000854,t,1.5161609000060707,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
27,50,21,4,2,30,2,69.8919308000477,,69.87883780000266,69.8919308000477,70.89112230000319,70.89112230000319,70.89112230000319,71.85888630000409,t,0.9592441999702714,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
15,35,13,4,3,31,1,71.8738691000035,,71.85955210000975,71.8738691000035,72.87352349999128,72.87352349999128,72.87352349999128,74.02464120002696,l,1.148188500024844,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
49,60,89,4,4,32,4,74.03920450003352,,74.02538510004524,74.03920450003352,75.03856710001128,75.03856710001128,75.03856710001128,76.70577699999558,l,1.6582893999875523,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
78,80,162,4,5,33,6,76.72082970000338,,76.70651170000201,76.72082970000338,77.72025360004045,77.72025360004045,77.72025360004045,78.5215690000332,t,0.7865950000123121,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
40,55,62,4,6,34,3,78.53634160000365,,78.52232360001653,78.53634160000365,79.53577950003091,79.53577950003091,79.53577950003091,81.40236500004539,t,1.858367900014855,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
27,50,21,5,0,35,2,81.41788650001399,,81.40283650002675,81.41788650001399,82.4174337000004,82.4174337000004,82.4174337000004,82.93526970001403,t,0.5135295000509359,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
15,35,13,5,1,36,1,82.95009689999279,,82.93633580004098,82.95009689999279,83.94964560004883,83.94964560004883,83.94964560004883,84.43425829999615,l,0.4713276000111364,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
49,60,89,5,2,37,4,84.44933860003948,,84.43504760001088,84.44933860003948,85.44852950004861,85.44852950004861,85.44852950004861,86.09924720000708,t,0.6430217000306584,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
67,75,119,5,3,38,5,86.11503250000533,,86.0997491000453,86.11503250000533,87.11424780002562,87.11424780002562,87.11424780002562,89.39829720003763,t,2.279620999994222,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
40,55,62,5,4,39,3,89.41272399999434,,89.3992758000386,89.41272399999434,90.41224610002246,90.41224610002246,90.41224610002246,91.08025920001091,t,0.6610261999885552,None,165311,001,2024-11-18_13h10.35.261,delay_discounting,2024.1.5,None,2024-11-18 13h10.53.916805 +0530,
