reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,6,0.20244609998189844,,0.01238469997770153,0.20244609998189844,1.0044981999963056,1.0044981999963056,1.2043194999860134,3.7009771000011824,l,2.674841900006868,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
40,55,62,0,1,1,3,3.7136162999959197,,3.7027323999791406,3.7136162999959197,4.702544100000523,4.702544100000523,4.71925779999583,6.686465099977795,l,1.9667033000150695,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
11,30,7,0,2,2,0,6.70079989999067,,6.687563399987994,6.70079989999067,7.700513499992667,7.700513499992667,7.700513499992667,9.867063299985602,t,2.1588732000091113,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
49,60,89,0,3,3,4,9.882319900003495,,9.86781460000202,9.882319900003495,10.881798499991419,10.881798499991419,10.881798499991419,12.316385399986757,t,1.4250331000075676,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
15,35,13,0,4,4,1,12.330801999982214,,12.317654899990885,12.330801999982214,13.330231200001435,13.330231200001435,13.330231200001435,15.031852199987043,l,1.6984094000072218,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
27,50,21,0,5,5,2,15.045866500004195,,15.032947100000456,15.045866500004195,16.04537109998637,16.04537109998637,16.04537109998637,17.91196480000508,l,1.8502705999999307,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
67,75,119,0,6,6,5,17.92698560000281,,17.912763000000268,17.92698560000281,18.926436299982015,18.926436299982015,18.926436299982015,19.911710299988044,t,0.9833180000132415,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
67,75,119,1,0,7,5,19.925893599982373,,19.912679899978684,19.925893599982373,20.92550049998681,20.92550049998681,20.92550049998681,23.27614810000523,l,2.3336967999930494,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
11,30,7,1,1,8,0,23.290338399994653,,23.277244800003245,23.290338399994653,24.290055599994957,24.290055599994957,24.290055599994957,27.272954799991567,l,2.9800652000121772,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
27,50,21,1,2,9,2,27.287742299988167,,27.273793700005626,27.287742299988167,28.28746249998221,28.28746249998221,28.28746249998221,29.87334920000285,t,1.582569299993338,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
15,35,13,1,3,10,1,29.88639349999721,,29.874443099979544,29.88639349999721,30.885912500001723,30.885912500001723,30.885912500001723,32.22005619999254,l,1.3286602000007406,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
40,55,62,1,4,11,3,32.23466909999843,,32.22082759998739,32.23466909999843,33.23442009999417,33.23442009999417,33.23442009999417,34.95205839999835,t,1.7048933999903966,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
78,80,162,1,5,12,6,34.966202299983706,,34.95307590000448,34.966202299983706,35.965942299983,35.965942299983,35.965942299983,38.299337000004016,t,2.3290338999941014,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
49,60,89,1,6,13,4,38.31387799998629,,38.30023239998263,38.31387799998629,39.31379369998467,39.31379369998467,39.31379369998467,41.414347699988866,l,2.0967589000065345,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
78,80,162,2,0,14,6,41.42907220000052,,41.41553319999366,41.42907220000052,42.428159699979005,42.428159699979005,42.428159699979005,45.42818190000253,t,2.9968626000045333,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
15,35,13,2,1,15,1,45.44299859998864,,45.428963199985446,45.44299859998864,46.44228479999583,46.44228479999583,46.44228479999583,51.25851909999619,l,4.807541500020307,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
27,50,21,2,2,16,2,51.27277409998351,,51.25960089999717,51.27277409998351,52.27216100000078,52.27216100000078,52.27216100000078,53.97346819998347,t,1.6927833999798167,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
11,30,7,2,3,17,0,53.98737479999545,,53.97459299999173,53.98737479999545,54.98718659998849,54.98718659998849,54.98718659998849,56.02137269999366,l,1.0229386999853887,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
40,55,62,2,4,18,3,56.03623559998232,,56.02254149998771,56.03623559998232,57.03573649999453,57.03573649999453,57.03573649999453,58.46964559998014,t,1.4220084999979008,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
49,60,89,2,5,19,4,58.484494799980894,,58.47056759998668,58.484494799980894,59.48420599999372,59.48420599999372,59.48420599999372,60.385335900005884,t,0.8854871999938041,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
67,75,119,2,6,20,5,60.39996650000103,,60.386396899994,60.39996650000103,61.39935069999774,61.39935069999774,61.39935069999774,62.58435449999524,l,1.179368399985833,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
40,55,62,3,0,21,3,62.59860129997833,,62.5858428000065,62.59860129997833,63.59782999998424,63.59782999998424,63.59782999998424,64.66593759998796,l,1.0629592000041157,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
15,35,13,3,1,22,1,64.68048079998698,,64.66655470000114,64.68048079998698,65.68024950000108,65.68024950000108,65.68024950000108,67.36578870000085,l,1.6825045000005048,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
27,50,21,3,2,23,2,67.3790289000026,,67.36685309998575,67.3790289000026,68.37837209997815,68.37837209997815,68.37837209997815,70.77880420000292,t,2.396696600015275,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
49,60,89,3,3,24,4,70.79335500000161,,70.77964609998162,70.79335500000161,71.7927984999842,71.7927984999842,71.7927984999842,72.62761359999422,t,0.831851299997652,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
11,30,7,3,4,25,0,72.64213069999823,,72.6286645999935,72.64213069999823,73.6418968999933,73.6418968999933,73.6418968999933,74.55975299997954,l,0.9139906000054907,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
78,80,162,3,5,26,6,74.57438089998323,,74.5606487999903,74.57438089998323,75.57422799998312,75.57422799998312,75.57422799998312,76.59223009998095,t,1.0112517999950796,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
67,75,119,3,6,27,5,76.60648590000346,,76.59330700000282,76.60648590000346,77.60609839999233,77.60609839999233,77.60609839999233,78.57316879997961,t,0.9652977999940049,None,365850,001,2024-11-17_17h16.58.911,delay_discounting,2024.1.5,None,2024-11-17 17h17.05.429810 +0530,
